coronavirus,n. 冠状病毒；日冕形病毒
novel coronavirus,找不到解释
2019-nCoV,找不到解释
reservoir for virus,找不到解释
pneumonia,n. 肺炎
novel coronavirus pneumonia,找不到解释
NCP, 网络控制程序
contagious,adj. 感染性的；会蔓延的
infectious,adj. 传染的；传染性的；易传染的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
human-to-human transmission,"《英汉医学词典》human-to-human transmission
人与人之间的传染"
droplet transmission,飞沫传播
imported case,找不到解释
confirmed case,确认病例
suspected case,"un. 可疑病例
 疑似病例；怀疑个案；怀疑病例"
secondary infection case,找不到解释
incubation period, 孵化期，（接种后的微生物）保温培养期，发酵周期; 潜伏期; 潜育期
asymptomatic infection,无症状感染
symptomless spreader,找不到解释
close contact,"un. 紧密接触
 密切接触；近距离接触；密集接触"
patient in critical condition,找不到解释
fatality rate,"na. 致死率
 病死率；死亡率；致命率"
death toll,"n. （事故、战争、灾难等的）死亡人数
 死亡丧钟；死亡数；死亡总数"
symptom,n.  症状；征兆
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
dry cough,"un. 干咳
 乾咳；干咳嗽；无痰的咳嗽"
shortness of breath,"na. 喘气
 呼吸短促；呼吸急促；气短"
breathing difficulty,找不到解释
respiratory infection,"un. 呼吸道传染
 呼吸道感染；呼吸感染；呼吸系统感染"
"fever, cough and difficulty in breathing",找不到解释
acute respiratory infection symptom,找不到解释
seafood market,找不到解释
ground zero,"n. （核弹的）爆心投影点
 归零地；世贸遗址；世贸中心遗址"
illegal wild animals transaction,找不到解释
contain the spread,找不到解释
contain the outbreak,找不到解释
combat the virus,找不到解释
first-level public health emergency response,找不到解释
epidemic prevention and control,找不到解释
Public Health Emergency of International Concern,找不到解释
PHEIC,找不到解释
makeshift hospital, 临时医院
mobile cabin hospital,找不到解释
the lockdown of a city,找不到解释
a city is on lockdown,找不到解释
seal off the city,找不到解释
evacuate diplomats,找不到解释
be under medical observation,找不到解释
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
medical supplies, 医疗用品；医药用品；医用耗材
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
face mask,"na. 面罩；面模
 口罩；面具；面膜"
protective clothing,"na. 防毒服
 防护服；防护衣；安全罩"
protective suits,找不到解释
goggles,"n.  护目镜；防护眼镜；瞪视（goggle的复数）
v. 瞪大眼睛看；转动眼珠（goggle的三单形式）"
disposable gloves, 一次性手套；用后可弃手套；抛弃式手套
National Health Commission,找不到解释
NHC,找不到解释
World Health Organization,"un. 世界卫生组织
 联合国世界卫生组织；世界健康组织；世卫组织"
WHO,找不到解释
Chinese Center for Disease Control and Prevention,"《英汉医学词典》Chinese Center for Disease Control and Prevention
中国疾病预防控制中心"
National Healthcare Security Administration,找不到解释
medical institution,"un. 医疗机构
 医疗院所；医疗体制；片区及附近医疗配套"
