supermarket,n. 超级市场；自助售货商店
meat,n. 肉，肉类（食用）
juice,n. （水果）汁，液；果汁
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
difficult,adj. 困难的；不随和的；执拗的
maths,n. 数学（等于mathematics）
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
science,n. 科学；技术；学科；理科
sheep,n. 羊，绵羊；胆小鬼
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
homework,n. 家庭作业，课外作业
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
usually,adv. 通常，经常
him,pron. 他（宾格）
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
the U.S.A.,找不到解释
the United States of America,"na. 美利坚合众国
 美国；国名美利坚合众国；美利坚合衆国"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
morning,n. 早晨；黎明；初期
the U.K.,n. 英国
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
river,n. 河，江
city,"n. 城市，都市
adj. 城市的；都会的"
afternoon,n. 午后，下午
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
Canada,n. 加拿大（北美洲国家）
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
tennis,n. 网球（运动）
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
basketball,n. 篮球；篮球运动
with,prep. 用；随着；支持；和…在一起
friend,n. 朋友；助手；赞助者
baseball,n. 棒球；棒球运动
team,"n. 队；组
vt. 使合作
vi. 合作"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
panda,n. 熊猫；猫熊
forget,"vi. 忘记
vt. 忘记；忽略"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
driver,n. 驾驶员；驱动程序；起子；传动器
early,"adj. 早期的；早熟的
adv. 提早；在初期"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
dinner,n. 晚餐，晚宴；宴会；正餐
