textbook,n. 教科书，课本
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
academic discipline, 学科；学术学科；一门学科
major field, 专业领域；学科领域；主修领域
major course,主修课
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
elective,"adj. 选修的；选举的；选任的
n. 选修课程"
basis,n. 基础；底部；主要成分；基本原则或原理
introductory course, 初级课程；入门课程；基础入门课程
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
course description,找不到解释
syllabus,n. 教学大纲，摘要；课程表
class syllabus,找不到解释
coursework,n. 作业，修习；指定功课，职业培训
exchange program, 交换项目；交换生项目；交换计划
class schedule, 课程表；课表；功课表
room assignment sheet,找不到解释
drop class,找不到解释
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
enrollment,n. 登记；入伍
registration,n. 登记；注册；挂号
transfer student,"n. （大学）转学生
 转校生；转校学生；转移学分学生"
alumnus,n. 男校友；男毕业生
academic record, 学习成绩；学业成绩；成绩单
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
advanced degree, 高等学位；高学历；进阶学位
advanced study,"un. 进修
 进修考研；高级的研究；进修读研"
take-home exam,找不到解释
mid-term,adj. 期中的
mid-term exam,找不到解释
final exam,"n. 期末考
 期末考试；期终考试；期末考周"
academic year,"n. 学年
 学年度；大学一学年；教学年度"
school year,"na. 学年
 年级；学年度；入学年级"
guesswork,n. 猜测；臆测；凭猜测所作之工作
theoretical,adj. 理论的；理论上的；假设的；推理的
classic theory,找不到解释
verification,n. 确认，查证；核实
advanced seminar,找不到解释
academia,n. 学术界；学术生涯
term project,找不到解释
independent study, 独立研究；独立学习；自主学习
independent research project,找不到解释
group research,找不到解释
group project,找不到解释
academic plan,找不到解释
research topic,"un. 研究课题
 研究主题；研究题目；按研究主题搜索"
research project,"un. 研究计划
 研究项目；研究计画；项目研究"
in-depth research,找不到解释
waiting list,"n. （服务或医疗的）等候者名单
 等候名单；候补名单；等待名单"
field research,"un. 实地研究
 田野调查；田野研究；实地调研"
field trip,"n. （常指学生进行的）野外考察
 实地考察；实地考察旅行；野外旅游"
field station,"un. 野外台；野外工作站；田间工作站
 野外测站；野外站；野外实践教学基地"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
research fund,找不到解释
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
office hours,"n. 办公时间
 工作时间；办公室时间；上班时间"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
class note,找不到解释
class presentation,找不到解释
spring break, 春假；呢班百厌仔；美春假
summer break, 暑假；夏季休假期间；夏季假期
summer term, 夏季学期；第三学期；暑期
summer school program,找不到解释
sabbatical,"n. 休假（美国某些大学给大学教师每七年一次的）
adj. 安息日的"
absence,n. 没有；缺乏；缺席；不注意
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
due day, 缴税日期；交期；缴交日期
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extension,n. 延长；延期；扩大；伸展；电话分机
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
paper topic,找不到解释
research paper,"un. 学术论文
 研究论文；研究报告；科研论文"
term paper,"n. （美国学校或大学的）学期论文
 学期报告；期末论文；期末报告"
senior thesis, 毕业论文；学士论文；研究论文
thesis seminar,找不到解释
research journal,找不到解释
scholarly journal,学术性杂志
journal article, 期刊论文；期刊文章；期刊文献
literature review, 文献综述；文献回顾；文献探讨
documentation,"n. 文件, 证明文件, 史实, 文件编制"
supplemental reading,找不到解释
additional reading,找不到解释
background reading, 背景阅读；背景读物；辅助材料阅读
extra reading,找不到解释
writing style, 写作风格；书写文体；文笔
academic convention,找不到解释
logical order,"un. 逻辑指令；逻辑次序
 逻辑顺序；逻辑顺序排列；论理次序"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
well-developed,adj. 发达的；发育良好的
argument,n. 论证；论据；争吵；内容提要
main argument,找不到解释
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
controversy,n. 争论；论战；辩论
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
basis,n. 基础；底部；主要成分；基本原则或原理
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
conclusion,n. 结论；结局；推论
synthesize,"vt. 合成；综合
vi. 合成；综合"
synopsis,n. 概要，大纲
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
proposal,n. 提议，建议；求婚
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
distraction,n. 注意力分散；消遣；心烦意乱
off topic,adj. （尤指因特网上的讨论）与主题不相干的，跑题的
subjective,adj. 主观的；个人的；自觉的
objectively,adv. 客观地
original thinking, 思考；原创性思维；原始思维
critically,adv. 精密地；危急地；严重地；批评性地；用钻研眼光地；很大程度上；极为重要地
perspective,"n. 观点；远景；透视图
adj. 透视的"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
draft version,找不到解释
primary source,"n. 第一手资料；（通过研究或观察等获得的）直接材料
 主电源；主要来源；第一手史料"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
redo,vt. 重做；重新装饰
progress report,"un. 进度报告；进展情况报告
 进展报告；工程进度报告；进度报表"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
re-shelve,找不到解释
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
borrowing privilege,找不到解释
loan period, 借期；贷款期限；借书期
circulation history,找不到解释
deadline,n. 截止期限，最后期限
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
on reserve,"给某人保留,不出借"
reserved book,保留图书(教员指定给学生参阅的书)
buyback,n. 回购，回买协议
sell back,找不到解释
full refund, 全额偿还；全额退款；全额退费
authorization,n. 授权，认可；批准，委任
authorized access,"un. 特许存取
 授权"
special permission,"un. 特别许可
 特许；有关当局给予的特别许可；特许权"
identification,n. 鉴定，识别；认同；身份证明
special collection, 特别馆藏；特藏；特色馆藏
permanent collection,找不到解释
library holdings,找不到解释
reference section,"un. 参考剖面
 参考书部；参考书库；参考信息"
reference stacks,找不到解释
electronic format, 电子版式；以电子化格式；以电子格式
electronic resource, 电子资源；网路电子资源；单位
microfilm,"vt. 缩微拍摄
vi. 缩微拍摄
n. 缩微胶卷"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
print version,找不到解释
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
additional copy,找不到解释
updated edition,找不到解释
later edition,找不到解释
manuscript,"n.  手稿；原稿
adj. 手写的"
rare book,"n. 善本书
 珍本书；珍贵图书；珍藏本"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
book list, 书单；书目；书籍列表
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
annotation,n. 注释；注解；释文
commentary,n. 评论；注释；评注；说明
mark up,"na. 涨价；赊账
 把…标出；标记；加价"
head librarian,图书馆馆长
library assistant, 图书馆助理；图书管理员；助理馆员
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
database,n. 数据库，资料库
keyword search,"un. 关键字查找
 关键词检索；关键字搜寻；关键字搜索"
video library, 视频仓库；视频资料；视频库
magnifying glass,"n. 放大镜
 地图放大镜；辨识镜；放大镜检视"
photocopy,"n. 复印件；影印
vt. 影印
vi. 影印，复印"
administrator,n. 管理人；行政官
administration office, 行政办公室；秘书室；行政管理部门
administrative office,"un. 署；行政公署(中国省政府的派出机构)；办公室
 行政办公室；行政管理办公室；行署"
department,n. 部；部门；系；科；局
faculty,n. 科，系；能力；全体教员
graduate school,"n. 研究生院
 研究所；研究院；研究生学院"
student aboard office,找不到解释
secretary,n. 秘书；书记；部长；大臣
dean,n. 院长；系主任；教务长；主持牧师
founding director,找不到解释
department chair, 系主任；系主任的职位；系主席
review committee, 复核委员会；检讨委员会；覆核委员会
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
senior researcher,找不到解释
guest speaker,"na. 邀请来的演说者
 主讲嘉宾；客座讲师；讲话嘉宾"
instructor,n. 指导书；教员；指导者
advisor,n. 顾问；指导教师；劝告者
colleague,n. 同事，同僚
scholar,n. 学者；奖学金获得者
custodian,n. 管理人；监护人；保管人
lecture hall,"un. 讲堂
 演讲厅；阶梯教室；报告厅"
auditorium,n. 礼堂，会堂；观众席
cafeteria,n. 自助餐厅
