childishly,adv. 天真地，幼小地；幼稚地
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
phone line, 电话线；电话通道；电话线路传送
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
reaction,n. 反应，感应；反动，复古；反作用
so what, 那又怎样；那又怎么样；那又怎么样呢
Royal Swedish Academy,找不到解释
groundbreaking,"n. 动工
adj. 开创性的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
atomic,adj. 原子的，原子能的；微粒子的
laser,n. 激光
atom,n. 原子
molecule,n.  分子；微小颗粒，微粒
femtochemistry, 飞秒化学
Swede,n. 瑞典人；瑞典甘蓝
investigation,n. 调查；调查研究
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
alumnus,n. 男校友；男毕业生
tumultuous,adj. 吵闹的；骚乱的；狂暴的
forefront,n. 最前线，最前部；活动的中心
arena,n. 舞台；竞技场
Alexandria University,找不到解释
tenure-track,adj. 终身职位的
PhD,找不到解释
University of Pennsylvania,"n. 宾夕法尼亚大学
 宾州大学；宾西法尼亚大学；美国宾夕法尼亚大学"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
prestigious,adj. 有名望的；享有声望的
postdoctoral,adj. 博士后的；博士学位取得后的
handful,n. 少数；一把；棘手事
dynamics,n. 动力学，力学
professorship,n.  教授职位
breakthrough,n. 突破；突破性进展
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
push the envelope, 它是个技术性的词汇; 指机械或其它设备的性能范围; 或者功用极限。比方说; 挑战极限
celebrity,n. 名人；名声
generation,n. 一代；产生；一代人；生殖
wisdom,n. 智慧，才智；明智；学识；至理名言
gain from, 从某物中受益；从…得到；获益良多
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
cleric,"n. 牧师；传教士
adj. 牧师的，教士的"
contribution,n. 贡献；捐献；投稿
spectacular,adj. 壮观的，惊人的；公开展示的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
primatologist,n. 灵长类动物学家 (primatology的变形)
conservationist,n. 自然资源保护论者
arrogant,adj. 自大的，傲慢的
personality,n. 个性；品格；名人
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
dream of,"v. 梦想
 梦见；梦到；向往"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
make a mess, 弄乱；搞成一团糟；搞得乱七八糟
make a mess of,"na. 把…弄糟
 搞糟；弄乱；制造乱七八糟"
consequence,n. 结果；重要性；推论
adversely,adv. 不利地；逆地；反对地
care about,"v. 在意
 关心；在乎；担心"
some sort of,"adj. 一些
 某种；多少有些；仿佛"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
knock out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
take ... seriously,"na. 重视；认真(想)；当真
 认真对待；认真看待；高度重视"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
tuna,n. 金枪鱼，鲔鱼
passion,n. 激情；热情；酷爱；盛怒
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
antiapartheid,adj. 反种族隔离的
humiliate,vt. 羞辱；使…丢脸；耻辱
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
boldness,n. 大胆；冒失；显著
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
goodwill,n.  商誉；友好；好意
transcend,vt. 胜过，超越
intractable,adj. 棘手的；难治的；倔强的；不听话的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
be likely to, 可能；很可能；很有可能
adolescence,n. 青春期
puberty,n. 青春期；开花期
longstanding,adj. 长期存在的；长时间的
establish,"vi. 植物定植
vt. 建立；创办；安置"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
identity,n. 身份；同一性，一致；特性；恒等式
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
clash with, 不调和；与…发生冲突；与抵触
rebel against, 叛逆；反抗；叛乱
suppress,vt. 抑制；镇压；废止
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
no matter,"na. 没事儿
 无论；不管；不论"
in one's hands, 到手；手里；有把握获胜
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
be used to,"na. 惯于
 习惯于；适应；被用来"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
step in,"na. 调停；介入；挤进；走进
 干预；干涉；插手"
interaction,"n. 相互作用； 交互作用
n. 互动"
argumentative,adj. 好辩的；辩论的；争辩的
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
make demand on,"提出要求, 有求于"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
emotional,adj. 情绪的；易激动的；感动人的
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
cope with,"v. 对付；应付
 处理；应对；解决"
excessive,adj. 过多的，极度的；过分的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
potentially,adv. 可能地，潜在地
undermine,vt. 破坏，渐渐破坏；挖掘地基
distract,vt. 转移；分心
provoking,"v. 激怒；挑拨；诱发（provoke的ing形式）
adj. 刺激的；令人生气的，激怒人的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
preferably,adv. 较好；宁可，宁愿；更适宜
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
muscular,adj. 肌肉的；肌肉发达的；强健的
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
sensation,n. 感觉；轰动；感动
serenity,n. 平静，宁静；晴朗，风和日丽
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
oxygen requirement,"un. 需氧量；氧需要量
 气体需求"
visualization,n. 形象化；清楚地呈现在心
deserted,"v. 遗弃（desert的过去式和过去分词）
adj. 荒芜的；被遗弃的"
balanced diet,"na. (营养)均衡的食谱
 平衡膳食；均衡膳食；均衡饮食"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
maintain,vt. 维持；继续；维修；主张；供养
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
vitamin,n.  维生素； 维他命
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
frustration,n. 挫折
bottle up,"na. 把…封在瓶内；压住(感情)；封锁(交通等)；捕获(逃犯等)
 抑制；严密封锁；抑制，按捺"
explode with, 突然发作
pent-up,adj. 被压抑的；幽闭的
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
let off steam,"na. 发泄多余的精力；发牢骚
 发泄郁积的感情；发泄抑制的感情；散发多余的精力"
basement,n. 地下室；地窖
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
strategy,n. 战略，策略
sympathy,n. 同情；慰问；赞同
inducing,"v. 引起（induce的ing形式）；引诱；劝
adj. 产生诱导作用的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
irritable,adj. 过敏的；急躁的；易怒的
migraine,n.  偏头痛
heartburn,n. 心痛，妒忌； 胃灼热
subject to,"v. 处于…中；使服从
 受制于；以……为条件；以……为准"
prolonged,adj. 延长的；拖延的；持续很久的
permanently,adv. 永久地，长期不变地
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
instantaneous,adj. 瞬间的；即时的；猝发的
accountability,n. 有义务；有责任；可说明性
muscle spasm,"un. 肌肉痉挛
 肌肉抽筋；肌肉挛缩；肌肉的痉銮"
hyperactive,adj. 极度活跃的；活动过度的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
bedwetting,n. 尿床
tantrum,n. 发脾气；发怒
phobia,n. 恐怖，憎恶；恐惧症
obsession,n. 痴迷；困扰； 强迫观念
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
trivial,adj. 不重要的，琐碎的；琐细的
deadline,n. 截止期限，最后期限
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
adrenal,"n. 肾上腺
adj. 肾上腺的"
noradrenaline,n. 去甲肾上腺素；降肾上腺素（等于noradrenalin）
dilate,"vt. 使扩大；使膨胀
vi. 扩大；膨胀；详述"
salivary gland,"n. 唾腺
 唾液腺；涎腺；唾液腺肿瘤"
secrete,vt. 藏匿；私下侵吞；分泌
blood vessel,"n. 血管
 血脉；心脑血管；血液流通的管道"
counteract,vt. 抵消；中和；阻碍
urination,n. 撒尿，排尿
defecation,n. 排便；澄清，净化
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
fringed,adj. 具流苏的，具的（等于fringy）；加穗的；带边饰的
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
spend ... on ...,找不到解释
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
be left with, 被剩下；被留下
colossal,adj. 巨大的；异常的，非常的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
reach one's peak,找不到解释
be in business, 经商；做买卖；做生意
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
magnet,n. 磁铁； 磁体；磁石
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
occasionally,adv. 偶尔；间或
stunt rider,特技车手
be connected with,"na. 与…有关系
 与……有联系；与…有关系；与……有关"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
typecast,vt. 浇铸；使（演员）一再演出同类的角色
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
interfere in,"v. 干涉
 干预；在某件事上打扰；相关词组"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
cease to, 不再出现某种情况；停止；终止
expertly,adv. 熟练地；巧妙地
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
