intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
transmission,n. 传动装置， 变速器；传递；传送；播送
amaze,vt. 使吃惊
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
clause,n. 条款； 子句
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
insight,n. 洞察力；洞悉
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
sight-seeing,"n. 观光；消遣
adj. 观光的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
ambiguous,adj. 模糊不清的；引起歧义的
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
insignificant,adj. 无关紧要的
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
repository,n. 贮藏室，仓库；知识库；智囊团
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
bummer,n. 懒汉；游手好闲的人；吸食迷幻药的反效果
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
digit,n. 数字；手指或足趾；一指宽
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
insist,"vi. 坚持，强调
vt. 坚持，强调"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
similar,"n. 类似物
adj. 相似的"
