afternoon,n. 午后，下午
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
am,找不到解释
and,conj. 和，与；就；而且；但是；然后
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
English class, 英语课；英文课；英语课程
math class,找不到解释
classmate,n. 同班同学
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
famous,adj. 著名的；极好的，非常令人满意的
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
first name,"n. 名字
 姓；你的名；姓氏"
last name,"n. 姓
 姓氏；你身份证上的姓氏；你的姓"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
his,pron. 他的
I,"n. 碘元素；英语字母I
pron. 我"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
in my class,找不到解释
is,"v. 是（be的三单形式）
n. 存在"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
math,n. 数学（等于mathematics）
Miss,找不到解释
morning,n. 早晨；黎明；初期
Mr.,n. 先生
Mrs.,找不到解释
Ms.,女士
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
oh,int. 哦；哎呀（表示惊讶或恐惧等）
our,pron. 我们的
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
phone number, 电话号码；联络电话；联系电话
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
teacher,n. 教师；导师
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
over there,"na. 在那边；在欧洲；在战地
 在那里；在那儿；那时那地"
too,adv. 太；也；很；还；非常；过度
also,"conj. 并且；另外
adv. 也；而且；同样"
yes,"n. 是（表示肯定）
adv. 是, 是的"
you,pron. 你；你们
your,pron. 你的，你们的
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
address book,"n. 通讯录；通讯簿；（计算机）通讯录
 地址簿；地址本；一个通讯录"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
book bag, 书包；书袋；小书袋
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
briefcase,n. 公文包
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
English book,找不到解释
café,找不到解释
camera,n. 照相机；摄影机
car,n. 汽车；车厢
cassette player,"un. 盒式放音机
 卡式录音机；盒式录音机；录放机"
CD player,"abbr. (=compact disc player)激光唱机
 雷射唱机；播放机；音响"
cell phone,"n. 手机；移动电话
 行动电话；手机号码；大哥大"
cellphone,n. 蜂窝式便携无线电话；大哥大
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
chopstick,n. 筷子
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
dictionary,n. 字典；词典
English dictionary,找不到解释
DVD player, 播放机；播放器；影碟机
earring,"n. 耳环，耳饰
v. 抽穗；听见（ear的ing形式）"
encyclopedia,n. 百科全书（亦是encyclopaedia）
eraser,n. 橡皮；擦除器； 清除器
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
gone,"v. 去（go的过去分词）
adj. 离去的；死去的；用光的"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
I bet ...,找不到解释
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
interesting,adj. 有趣的；引起兴趣的，令人关注的
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
location,n. 位置（形容词locational）；地点；外景拍摄场地
notebook,n. 笔记本，笔记簿；手册
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
Relax.,找不到解释
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
