look like, 看起来与（某人或某物）相像; 很可能出现（某事、做某事）; 伣; 似
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
with,prep. 用；随着；支持；和…在一起
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
him,pron. 他（宾格）
policewoman,n. 女警察；女警官
policewomen,n. 女警察( policewoman的名词复数 )
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
its,pron. 它的
their,pron. 他们的，她们的；它们的
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
What is ... like?,找不到解释
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
It's time to ...,找不到解释
It's time for ...,找不到解释
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
o'clock,abbr. …点钟（等于of the clock）
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
half past ...,找不到解释
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
a quarter to ...,找不到解释
sleep,"n. 睡眠
vi. 睡，睡觉"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
dinner,n. 晚餐，晚宴；宴会；正餐
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
have class, 上课；指上课；该上课了
usually,adv. 通常，经常
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
from,prep. 来自，从；由于；今后
from ... to ..., 从到；从什么到什么；起止时间
hmmm ...,找不到解释
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
take exercise,"na. 运动
 锻炼；锻炼身体；做运动"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
go running, 去跑步；去做某事；在早上我通常跑步半小时
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
week,n. 周，星期
today,"n. 今天；现今
adv. 今天；现今"
Wednesday,n. 星期三
Thursday,n. 星期四
why,"int. 哎呀！什么？
adv. 为什么"
Sunday,n. 星期日；礼拜日
Monday,n. 星期一
Tuesday,n. 星期二
Friday,n. 星期五
Saturday,n. 星期六
always,adv. 永远，一直；总是；常常
parent,n. 父亲（或母亲）；父母亲；根源
housework,n. 家务事
never,adv. 从未；决不
often,adv. 常常，时常
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
activity,n. 活动；行动；活跃
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
Me too.,找不到解释
do some reading, 阅读；读书；读点书
interesting,adj. 有趣的；引起兴趣的，令人关注的
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
shall,aux. 应；会；将；必须
Shall we ...?,找不到解释
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
Monkey King,找不到解释
take photos, 照相；拍照；拍照片
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
listen to ...,找不到解释
email,"n. 电子信函
vt. 给…发电子邮件"
picnic,"n. 野餐
vi. 去野餐"
have a look,"v. 看一看
 看一下；瞧一瞧；看看"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
basketball,n. 篮球；篮球运动
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
kung fu,"n. 功夫（中国拳术）
v. 用功夫击打(对手)
 中国功夫；功夫片；徒手功夫"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
the long jump,n. 跳远
