travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
hour,n. 小时；钟头；课时；…点钟
half an hour,"na. 半小时；a half hour 半小时
 半个小时；一个半小时；是半个小时"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
advertisement,n. 广告，宣传
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
a few,"na. 几个；很多；一点点
 一些；有些；少量"
a lot of,"det. 许多
 大量；很多；大量的"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
light rail,"na. 轻轨
 轻铁；轻轨电车；轻轨铁路"
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
kindergarten,n. 幼儿园；幼稚园
housing estate,"n. （统建的）住宅区
 居住小区；住宅小区；屋苑"
temple,n. 庙宇；寺院；神殿；太阳穴
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
loudly,adv. 大声地，响亮地
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
escalator,n. （美）自动扶梯；电动扶梯
on the left, 在左边；在左侧；在右边
on the right, 在右边；在右侧；在右面
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
exit,"n. 出口，通道；退场
vi. 退出；离去"
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
in the middle, 在中间；在中部；夹在中间
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
menu,"n. 菜单
饭菜"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
garlic,n. 大蒜；蒜头
noodle,n. 面条；笨蛋
seafood,n. 海鲜；海味；海产食品
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
prawn,"n. 对虾，明虾
vi. 捕虾"
also,"conj. 并且；另外
adv. 也；而且；同样"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
bacon,n. 咸肉；腌肉；熏猪肉
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
cola,n. 可乐；可乐树（其子含咖啡碱）
spicy,adj. 辛辣的；香的，多香料的；下流的
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
lemon,"adj. 柠檬色的
n. 柠檬"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
salty,adj. 咸的；含盐的
chilli,n. 红辣椒
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
delicious,adj. 美味的；可口的
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
healthy,adj. 健康的，健全的；有益于健康的
eating,"n. 吃；食物
v. 吃（eat的ing形式）
adj. 侵蚀的；可生食的；进餐用的"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
a little,"n. 一点
 一些；少许；有点"
plenty of,"na. 很多的
 许多；大量的；充足的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
unhealthy,adj. 不健康的；危险的；有害身心健康的
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
countryside,n. 农村，乡下；乡下的全体居民
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
as ... as,找不到解释
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
should,aux. 应该；就；可能；将要
suggestion,n. 建议；示意；微量，细微的迹象
