cholera,n.  霍乱
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
diarrhoea,n. 腹泻
dehydration,n. 脱水
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
once and for all,"ph. 一劳永逸地
 最后一次；彻底地；只此一次"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
infection,n. 感染；传染；影响；传染病
infect,vt. 感染，传染
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
water pump,"na. 水泵
 抽水机；水帮浦；水泵浦"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
intervention,n. 介入；调停；妨碍
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
statistic,"n. 统计数值
adj. 统计的，统计学的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
epidemiology,n. 流行病学；传染病学
microscope,n. 显微镜
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
virus,n.  病毒；恶毒；毒害
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
framework,n. 框架，骨架；结构，构架
theoretical framework, 理论架构；理论框架；理论体系
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
plasma,n.  等离子体；血浆； 深绿玉髓
aerospace,n. 航空宇宙； 航空航天空间
patriotic,adj. 爱国的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanic,"n. 技工，机修工
adj. 手工的"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
aviation,n. 航空；飞行术；飞机制造业
defend,"vi. 保卫；防守
vt. 辩护；防护"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
in charge of,"na. 受托…的
 负责；主管；掌管"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
leadership,n. 领导能力；领导阶层
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
come down,"na. 败落；退步；(飞机的)下降
 下来；病倒；降落"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
concept,n. 观念，概念
astronomer,n. 天文学家
astronomy,n. 天文学
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
besides,"prep. 除…之外
adv. 此外；而且"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
furthermore,adv. 此外；而且
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
vivid,adj. 生动的；鲜明的；鲜艳的
Queen Victoria,"un. 维多利亚女王
 维多利亚女皇；英国维多利亚女王；维多利亚女王号"
Cambridge,n. 剑桥（英国城市）；坎布里奇（美国马萨诸塞州城市）
non-Newtonian fluid, 非牛顿流体；非牛顿型流体；非牛顿液
the Jet Propulsion Laboratory,找不到解释
Stephen Hawking, 霍金；物理学家霍金；史蒂芬霍金
the big bang theory, 生活大爆炸；天才理论传；宅男行不行
Fred Hoyle, 弗雷德·霍伊尔
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
qualification,n. 资格；条件；限制；赋予资格
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
adaptation,n. 适应；改编；改编本，改写本
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
cite,vt. 引用；传讯；想起；表彰
participation,n. 参与；分享；参股
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
presentation,n. 展示；描述，陈述；介绍；赠送
speak up,"na. “speak out”的变体
 大声说；大声地说；大声点"
feel at home,"na. 舒松；“be/feel/look at home”的变体
 感觉自在；宾至如归；感到宾至如归"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engage in,"na. 从事；参加
 参与；从事于；忙于"
involve,vt. 包含；牵涉；使陷于；潜心于
get involved in,"un. 患病；参加
 卷入；参与；涉及"
messenger,n. 报信者，送信者；先驱
edition,"n. 版本
版次
集"
culture shock,文化冲击（突然处于一个与前大不相同的社会和文化环境中因而感到困惑、忧虑、烦恼的心情）
zone,  地带、地区（德语）
comfort zone,"n. 舒适区；最佳状态
 舒适圈；舒适地带；舒适区域"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
homesickness,n. 乡愁
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
motivation,n. 动机；积极性；推动
motivate,vt. 刺激；使有动机；激发…的积极性
advisor,n. 顾问；指导教师；劝告者
reasonable,adj. 合理的，公道的；通情达理的
expectation,n. 期待；预期；指望
applicant,n. 申请人，申请者；请求者
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
exposure,n. 暴露；曝光；揭露；陈列
expose,vt. 揭露，揭发；使曝光；显示
insight,n. 洞察力；洞悉
departure,n. 离开；出发；违背
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
cost an arm and a leg,"na. 使付出一大笔钱
 价格昂贵；极其昂贵；太宰人了"
tremendous,adj. 极大的，巨大的；惊人的；极好的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
surroundings,n. 环境；周围的事物
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
depress,vt. 压抑；使沮丧；使萧条
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
optimistic,adj. 乐观的；乐观主义的
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
perspective,"n. 观点；远景；透视图
adj. 透视的"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
competent,adj. 胜任的；有能力的；能干的；足够的
envoy,n. 使者；全权公使
cooperate,vi. 合作，配合；协力
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
sincerely,adv. 真诚地；由衷地，诚恳地
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
logical,adj. 合逻辑的，合理的；逻辑学的
as far as I know,"na. (= so far as I know)就我所知
 据我所知；就我而言；我只知道"
as far as I am concerned, 就我而言；就个人而言；据我所知
in summary,"adv. 扼要
 总之；总结；总的来说"
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
outcome,n. 结果，结局；成果
Rome,n. 罗马（意大利首都）
Aisha,找不到解释
the Belt and Road Initiative,找不到解释
cuisine,n. 烹饪，烹调法
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prior to,"adj. 前于
 此前；在…之前；先于"
consist,vi. 由…组成；在于；符合
consist of,"v. 由…合成
 由……组成；由…构成；包括"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
recipe,n. 食谱； 处方；秘诀；烹饪法
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
chef,n. 厨师，大师傅
peppercorn,n. 干胡椒；象征性租金；空有其名的象征性房租
vinegar,n. 醋
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slice ... off,"v. 切开
 切下一片；割掉；剽"
onion,n. 洋葱；洋葱头
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lamb kebab,找不到解释
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
dim sum,"n. 点心
 中式点心；茶点；港式点心"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
junk,n. 垃圾，废物；舢板
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
garlic,n. 大蒜；蒜头
bacon,n. 咸肉；腌肉；熏猪肉
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
sausage,n. 香肠；腊肠；装香肠的碎肉
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
bean curd,"na. 豆腐
 豆干；豆腐类；豆腐类一款"
tofu,n. 豆腐
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
fig,"n. 无花果；无花果树；少许，一些；无价值的东西；服装
vt. 打扮；使马跑快"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
dessert,n. 餐后甜点；甜点心
dough,n. 生面团；金钱
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
haggis,n. （苏格兰）肉馅羊肚；羊肉杂碎布丁
canteen,n. 食堂，小卖部；水壶
cafeteria,n. 自助餐厅
bun,"n. 小圆面包
屁股
圆髻"
chilli,n. 红辣椒
pork,"n. 猪肉
vt. 与女子性交"
red braised pork,找不到解释
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
madam,n. 夫人；女士；鸨母
calorie,n. 卡路里（热量单位）
association,n. 协会，联盟，社团；联合；联想
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
category,n. 种类，分类； 范畴
vitamin,n.  维生素； 维他命
fibre,n. 纤维；纤维制品
quantity,n. 量，数量；大量；总量
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
moderation,n. 适度；节制；温和；缓和
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
consistent,adj. 始终如一的，一致的；坚持的
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
Jean Anthelme Brillat-Savarin,找不到解释
Kazak,找不到解释
St Andrews, 圣安德鲁斯大学；圣安德鲁大学；圣安德鲁斯学院
airline,"n. 航空公司；航线
adj. 航线的"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
