frequently,adv. 频繁地，经常地；时常，屡次
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
educator,n. 教育家；教育工作者；教师
Polish,"n. 磨光，擦亮；上光剂，擦亮剂；优雅，精良
vi. 擦亮，变光滑
vt. 磨光，使发亮
adj. 波兰的"
poetry,n. 诗；诗意，诗情；诗歌艺术
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
patriotic,adj. 爱国的
acquire,vt. 获得；取得；学到；捕获
willingly,adv. 欣然地；愿意地，乐意地
poet,n. 诗人
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
practically,adv. 实际地；几乎；事实上
experimental,adj. 实验的；根据实验的；试验性的
somehow,adv. 以某种方法；莫名其妙地
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
herd-boy, 牧童
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
slingshot,n. 弹弓
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
twine,"n. 麻线；细绳；搓；合股线
vt. 使缠绕；使交织；编饰
vi. 缠绕；搓；交织；编饰"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
unruly,adj. 不守规矩的；任性的；难驾驭的
donkey,n. 驴子；傻瓜；顽固的人
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
unseat,vt. 罢免；剥夺…的席位；使失去资格；使从座位上（或马背上）摔下
embarrass,vt. 使局促不安；使困窘；阻碍
dignity,n. 尊严；高贵
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
fate,"n. 命运
vt. 注定"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
dishonour,"n. 拒付；不名誉
vt. 拒付；使丢脸；拒绝承兑；不履行（诺言等）"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
by heart, 牢记；凭记忆；熟记
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
take it in turns, 大家轮流
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
Marie Curie, 居里夫人；居礼夫人；玛丽·居里
Charles Darwin,"na. 达尔文
 查尔斯·达尔文；查理士·达尔文；查理斯达尔文"
Nelson Mandela, 南非前总统曼德拉；纳尔逊·曼德拉；南非总统曼德拉
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
plumb line,"v. 用铅锤线测量(…的垂直度)；探测
n. （测水深或垂直面用的）铅垂线
 垂直线；吊线；铅直线"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
grindstone,n. 磨石
wisdom,n. 智慧，才智；明智；学识；至理名言
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
carriage,n. 运输；运费；四轮马车；举止；客车厢
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
virtue,n. 美德；优点；贞操；功效
profound,adj. 深厚的；意义深远的；渊博的
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
