essentially,adv. 本质上；本来
substantially,adv. 实质上；大体上；充分地
essence,n. 本质，实质；精华；香精
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
theory,n. 理论；原理；学说；推测
in theory, 理论上；从理论上看；在理论上
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
theorize,"vt. 建立理论
vi. 建立理论或学说；推理"
theoretical,adj. 理论的；理论上的；假设的；推理的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abstract knowledge,抽象知识
abstraction,n. 抽象；提取；抽象概念；空想；心不在焉
symbolic,adj. 象征的；符号的；使用符号的
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
symbolism,n. 象征，象征主义；符号论；记号
representation,n. 代表；表现；表示法；陈述
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representational,adj. 代表的；具象派的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conceivable,adj. 可能的；想得到的，可想像的
conception,n. 怀孕；概念；设想；开始
deceive,v. 欺骗；行骗
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
foreign accent,找不到解释
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
antonym,n.  反义词
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
diction,n. 用语；措词
intricate,adj. 复杂的；错综的，缠结的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
language acquisition, 语言习得；语言获得；语言的习得
oral,"n. 口试
adj. 口头的，口述的"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
suffix,"n. 后缀；下标
vt. 添后缀"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
prefix,"n. 前缀
vt. 加前缀；将某事物加在前面"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
synonym,n. 同义词；同义字
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
vocabulary,n. 词汇；词表；词汇量
vocabulary quantity,词汇量
vowel,"n. 元音；母音
adj. 元音的"
bilingual,"n. 通两种语言的人
adj. 双语的"
bilingual lecturing,找不到解释
cognitive,adj. 认知的，认识的
corpus,n.  语料库；文集；本金
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
language family, 语系；语族；语言学上有语族
lexicology,n. 词汇学；词典学
linguistic,adj. 语言的；语言学的
linguistics,n. 语言学
linguist,"n. 语言学家
学多种外语的人"
morphology,n. 形态学，形态论； 词法， 词态学
phonetic,adj. 语音的，语音学的；音形一致的；发音有细微区别的
phonetic alphabet,"un. 语音字母表
 音标；音标字母；拼音字母"
phonology,n. 音系学；音韵学；语音体系
semantics,n.  语义学；语义论
syntax,n. 语法；句法；有秩序的排列
irrigation,n. 灌溉； 冲洗；冲洗法
irrigation sprinkler,找不到解释
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
abundantly,adv. 丰富地；大量地
plentifully,adv. 丰富地，富裕地
abundant,adj. 丰富的；充裕的；盛产
cactus,n.  仙人掌
sagebrush,n.  蒿属植物（产于美国西部）
agricultural,adj. 农业的；农艺的
agricultural production,"un. 农业生产
 农业出产；农业学"
agrarian,adj. 土地的；耕地的；有关土地的
agrarian reform,"na. 土地改革
 农业改革；农业改革方面；农业改革运动"
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
arable land,"na. 适于耕作的土地
 耕地；可耕地；可耕土地"
arid,adj. 干旱的；不毛的， 荒芜的
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
infertile,adj. 不肥沃的；不毛的；不结果实的；不能生殖的
fertilizer,n.  肥料；受精媒介物；促进发展者
organic fertilizer,"n. 有机肥料
 嘉佳肥；肥王有机肥料；保水有机肥"
herbicide,n.  除草剂
pest,n. 害虫；有害之物；讨厌的人
pesticide,n. 杀虫剂
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
cultivate,vt. 培养；陶冶；耕作
reap,"vt. 收获，获得；收割
vi. 收割，收获"
reaper,"n. 收割者；收割机；收获者； 死神,死"
output,"n. 输出，输出量；产量；出产
vt. 输出"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
warehouse,n. 仓库；货栈；大商店
prolific,adj. 多产的；丰富的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
bale loader,n. 装草机
tractor,n. 拖拉机；牵引机
tract,n. 束；大片土地，地带；小册子
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
clod crusher,碎土块机
farm machine,"un. 农业机械
 农机；求购农业机械；农场用机器"
field roller,滚转性传播植物
mower,n. 割草机；割草的人
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
water pump,"na. 水泵
 抽水机；水帮浦；水泵浦"
reaper,"n. 收割者；收割机；收获者； 死神,死"
harvester,n. 收割机；收获者
seeder,n. 播种机，播种人，去核器
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
thresher,n. 打谷机；打谷者； 长尾鲨
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
weeder,n. 除草者
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weeding machine,除草机
vegetation,n. 植被；植物，草木；呆板单调的生活
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
flora,n. 植物区系；植物群
