finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
formulation,n. 构想，规划；公式化；简洁陈述
forum,n. 论坛，讨论会；法庭；公开讨论的广场
genetic,adj. 遗传的；基因的；起源的
genetics,n. 遗传学
geometric,adj. 几何学的； 几何学图形的
geometry,"n. 几何学
几何结构"
geopolitics,n. 地缘政治学；地理政治论
glossary,n. 术语（特殊用语）表；词汇表；专业词典
grounding,"n.  接地；基础；搁浅；（染色的）底色
v.  接地（ground的ing形式）；搁浅"
gynecology,n. 妇科学，妇科医学
gynaecology,"n. 妇科医学
妇科医生"
horoscope,n. 占星术；星象；十二宫图
horticulture,n. 园艺，园艺学
housecraft,"n. <英>管家的技能, 家政学"
hypotenuse,n. 直角三角形的斜边
illiteracy,n. 文盲；无知
integer,n.  整数；整体；完整的事物
magnetism,n. 磁性，磁力；磁学；吸引力
metallurgy,n. 冶金；冶金学；冶金术
meteor,n. 流星； 大气现象
meteorological,adj. 气象的；气象学的
meteorology,n. 气象状态，气象学
microbiology,n. 微生物学
nebulous,adj. 朦胧的；星云的，星云状的
nomenclature,n. 命名法；术语
oceanography,n. 海洋学
optics,n.  光学
ordinal,"adj. 顺序的，依次的
n.  序数"
ovum,n.  卵；卵子；卵形装饰
parameter,n. 参数；系数；参量
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
pathology,n. 病理（学）; 异常状态
pedagogic,adj. 教师的（等于pedagogical）；教育学的；教授法的
pedagogical,adj. 教育学的；教学法的
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
quadrangle,n. 四边形；方院
quadrant,n. 象限； 象限仪；四分之一圆
quadratic,"n. 二次方程式
adj.  二次的"
quadrilateral,"n. 四边形
adj. 四边形的"
quotient,n.  商；系数；份额
rabbi,n. 拉比（犹太人的学者）；法师；犹太教律法专家；先生
ramification,n. 衍生物；分枝，分叉；支流
rectangle,n. 矩形；长方形
roundup,n. 综述；集拢；围捕；摘要
savant,n. 学者；专家
scholarly,adj. 博学的；学者风度的；学者派头的
scholastic,"adj. 学校的；学者的；学术的（等于scholastical）
n. 学者；学生；墨守成规者；经院哲学家"
sociology,n. 社会学；群体生态学
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
terminology,n. 术语，术语学；用辞
theorem,n.  定理；原理
theoretical,adj. 理论的；理论上的；假设的；推理的
thermodynamics,n. 热力学
topographer,n. 地形学者；地志学者
treatise,n. 论述；论文；专著
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
triangular,adj. 三角的， 三角形的；三人间的
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
admonish,vt. 告诫；劝告
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
distract,vt. 转移；分心
emblem,"n. 象征；徽章；符号
vt. 象征；用符号表示；用纹章装饰"
emend,vt. 修订；改进
flair,n. 天资；天分；资质；鉴别力
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
imbue,vt. 灌输；使感染；使渗透
immerse,vt. 沉浸；使陷入
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
indoctrinate,vt. 灌输；教导
matriculate,"vt. 准许…入学；录取…入大学
vi. 准许入学；录取
n. 被录取者"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
modify,"vt. 修改，修饰；更改
vi. 修改"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
preoccupied,"v. 抢先占有；使…全神贯注（preoccupy的过去式）
adj. 全神贯注的；心事重重的；被先占的"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
specify,vt. 指定；详细说明；列举；把…列入说明书
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
alumna,n. 女毕业生；女校友
alumnus,n. 男校友；男毕业生
bifocals,n. 远视近视两用的眼镜
coed,"n. 男女同校的学生
adj. 男女同校的"
collegiate,adj. 大学的；学院的；大学生的
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
curriculum,"n. 课程
总课程"
dais,n. 讲台
