oh,int. 哦；哎呀（表示惊讶或恐惧等）
e-dog,找不到解释
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
student,n. 学生；学者
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
classmate,n. 同班同学
after school,"na. 放学后
 嘉熙；放学以后；因为你"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
over there,"na. 在那边；在欧洲；在战地
 在那里；在那儿；那时那地"
classroom,n. 教室
dancing,"n. 跳舞；舞蹈
v. 跳舞；摇晃（dance的ing形式）"
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
looks,n. 相貌
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
hobby,n. 嗜好；业余爱好
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
everyone,"n. 每个人
pron. 每个人；人人"
come from,"v. 来自；出身；归因于
 来自于；来源于；出生"
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
walking,"n. 步行；散步
v. 步行（walk的ing形式）
adj. 步行的"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
tennis,n. 网球（运动）
volleyball,n. 排球
enjoy,vt. 欣赏，享受；喜爱；使过得快活
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
member,n. 成员；会员；议员
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
at weekends, 在周末；每逢周末；生在周末
on weekends, 在周末；每逢周末；每周末
at the weekend, 在周末；在这个周末；周末生活
on the weekend, 在周末；在这个周末；美式英语
of course,"na. 当然
 自然；当然可以；当然了"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
a lot of,"det. 许多
 大量；很多；大量的"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
team,"n. 队；组
vt. 使合作
vi. 合作"
talk about,"na. 讲(某事)
 谈论；讨论；谈到"
talk of,"na. 讲；说要
 谈论；谈到；议论"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
hero,n. 英雄；男主角，男主人公
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
