ruler,n. 尺；统治者； 划线板，划线的人
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
eraser,n. 橡皮；擦除器； 清除器
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil box, 铅笔盒；文具盒；你的铅笔盒
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
your,pron. 你的，你们的
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
mom,n. 妈妈
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
leg,n. 腿；支柱
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
cat,n. 猫，猫科动物
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
elephant,n. 象；大号图画纸
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
tiger,n. 老虎；凶暴的人
panda,n. 熊猫；猫熊
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
juice,n. （水果）汁，液；果汁
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
ten,num. 十个，十
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
