French door,落地双扇玻璃门
fire brigade,"n. 消防队；消防队员
 消防局；救火队；企业专职消防队"
maroon,"n. 褐红色；逃亡黑人奴隶；孤立的人
v. 使孤立；放逐到无人岛上
adj. 褐红色的"
moorings,n. （船的）系泊用具; 系留用具; 停泊处( mooring的名词复数 ); 系船用具
vantage point,"n. （观察事物的）有利地点；（尤指考虑旧时事物的）有利时刻
 刺杀据点；有利位置；有利地形"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
festoon,"n. 花彩； 花彩装饰物
vt. 结彩于； 以花彩装饰"
spaghetti,n. 意大利式细面条
rampaging,"n. 暴怒；暴跳；乱闹
vi. 狂暴；乱闹；发怒"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
cryptic,adj. 神秘的，含义模糊的； 隐藏的
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
sardonically,adv. 冷嘲地；讽刺地
encompass,vt. 包含；包围，环绕；完成
decor,n. 装饰，布置
incongruous,adj. 不协调的；不一致的；不和谐的
falsetto,"n. 假音；假声歌手； 男性女声
adj. 用假声的
adv. 用假声"
conceivable,adj. 可能的；想得到的，可想像的
adversary,n. 对手；敌手
inbred,"adj. 天生的；近亲交配的
v. 同系交配（inbreed的过去式及过去分词）"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
incriminate,vt. 控告；暗示...有罪
roadblock,"n. 路障；障碍物
vi. 设置路障"
peremptorily,adv. 独断地；断然地；蛮横地
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
vacillation,n. 踌躇；不果断；游移不定
dally,"vt. 浪费（时间）
vi. 玩弄；闲荡；轻率地对待"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
prosecution,n. 起诉，检举；进行；经营
orator,n. 演说者；演讲者；雄辩家；原告
jury,"n.  陪审团；评判委员会
adj. 应急的"
evolution,n. 演变；进化论；进展
indict,vt. 控告，起诉； 揭发
evangelist,n. 福音传道者；圣经新约福音书的作者
exhort,"vt. 忠告；劝诫
vi. 劝告"
infidel,"n. 异教徒；无信仰者
adj. 异教徒的；无宗教信仰的"
attorney-general,n. 司法部长；总检察长；首席检察官
magnetic,adj. 地磁的；有磁性的；有吸引力的
agnostic,"n. 不可知论者
adj. 不可知论的"
drawl,"n. 慢吞吞拉长调子的说话方式
vt. 慢吞吞地说
vi. 慢吞吞地说"
bigotry,n. 偏执；顽固；盲从
faggot,"n. 柴把；同性恋
vt. 捆
vi. 捆柴把"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
contaminated,"v. 污染（contaminate的过去式）
adj. 受污染的；弄脏的"
mammal,n.  哺乳动物
brandish,"n. 挥舞
vt. 挥舞；炫耀"
sonorous,adj. 响亮的；作响的；能发出响亮声音的
organ,n.  器官；机构；风琴；管风琴；嗓音
