fossil man,化石人
recount,"n. 重算
vt. 叙述；重新计算"
saga,n. 传说；冒险故事；英雄事迹
legend,n. 传奇；说明；图例；刻印文字
migration,n. 迁移；移民；移动
anthropologist,n. 人类学家；人类学者
ancestor,n. 始祖，祖先；被继承人
Polynesian,"n. 波利尼西亚人
adj. 波利尼西亚的；波利尼西亚人的"
Indonesia,n. 印尼，印度尼西亚（东南亚岛国）
archaeologist,n. 考古学家
flint,n. 燧石；打火石；极硬的东西
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
beast,n. 野兽；畜生，人面兽心的人
census,"n. 人口普查，人口调查
vt. 实施统计调查"
acre,n. 土地，地产；英亩
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
Matterhorn,找不到解释
alpinist,n. 登山家；登山运动员
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
perilous,adj. 危险的，冒险的
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
impoverish,vt. 使贫穷；使枯竭
Alpine,找不到解释
flea-ridden,adj. 充满跳蚤的
coarse,adj. 粗糙的；粗俗的；下等的
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
parishioner,n. 教区居民
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
the Alps,"na. 阿尔卑斯山(脉)
 阿尔卑斯山脉；自然的巨人；阿尔卑斯山区"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
Ulyanovsk,找不到解释
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
lotto,n. 一种对号码的牌戏
slipper,"n. 拖鞋
vt. 用拖鞋打"
blindfold,"n. 障眼物，眼罩
adj. 轻率的，盲目的；看不清的；被蒙住眼睛的
vt. 蒙住…的眼睛；挡住…的视线；使…模糊不清
adv. 盲目地；鲁莽地，轻率地"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
fundamentals,n. 基本面；基本原理（fundamental的复数）
glorious,adj. 光荣的；辉煌的；极好的
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
identity,n. 身份；同一性，一致；特性；恒等式
dreary,adj. 沉闷的，枯燥的
commitment,n. 承诺，保证；委托；承担义务；献身
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
social climber,"n. 攀附权贵借以挤入上流社会的人；趋炎附势向上爬的人
 攀龙附凤者；追求更高社会地位的人；上流社会者"
devotion,n. 献身，奉献；忠诚；热爱
cosmic,adj. 宇宙的（等于cosmical）
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
conceited,adj. 自负的；狂想的；逞能的
presumptuous,adj. 专横的；放肆的；冒昧的
fatuous,adj. 愚笨的；昏庸的；发呆的；自满的
cliché,找不到解释
goodwill,n.  商誉；友好；好意
cricket,n. 板球，板球运动；蟋蟀
inclination,n. 倾向，爱好；斜坡
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
orgy,n. 狂欢；放荡
deduce,vt. 推论，推断；演绎出
competitive,adj. 竞争的；比赛的；求胜心切的
patriotism,n. 爱国主义；爱国心，爱国精神
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
combative,adj. 好战的；好事的
mimic warfare,找不到解释
behaviour,n. 行为；习性；运行状况（=behavior）
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
strictly,adv. 严格地；完全地；确实地
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
appreciation,n. 欣赏，鉴别；增值；感谢
obstruction,n. 障碍；阻碍；妨碍
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
hull,"n. 船体；（果实的）外壳
vt.  去壳"
interval,n. 间隔；间距；幕间休息
receipt,"n. 收到；收据；收入
vt. 收到"
apparatus,n. 装置，设备；仪器；器官
shoal,"n. 浅滩，沙洲；鱼群；潜在危险
vi. 变浅
vt. 使变浅；驶入
adj. 浅的"
herring,n. 鲱
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
dialysis,n.  透析； 渗析
electrocute,vt. （美）以电椅处死；使触电致死
eliminate,vt. 消除；排除
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
device,n. 装置；策略；图案
hammer out,"na. 苦心想出；推敲出；敲出(音调等)；锤薄
 锤平；设计出；锤成"
pact,n. 协定；公约；条约；契约
espionage,n. 间谍；间谍活动；刺探
Alfred,找不到解释
Danish,"n. 丹麦语
adj. 丹麦的；丹麦人的；丹麦语（文）的"
minstrel,n. 歌手，艺人；吟游诗人
