goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
for example,"na. 例如
 举例；比如；比如说"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
skill,n. 技能，技巧；本领，技术
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
such,adj. 这样的，如此的
cricket,n. 板球，板球运动；蟋蟀
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
person,n. 人；身体；容貌，外表；人称
hero,n. 英雄；男主角，男主人公
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
relay race,"na. 接力赛跑
 接力跑；大队接力赛；接力比赛"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
shall,aux. 应；会；将；必须
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
theater,n. 电影院，戏院，剧场；戏剧；手术室
neck and neck,"na. 齐头并进
 不分上下；并驾齐驱；不相上下"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
Olympics,找不到解释
motto,n. 座右铭，格言；箴言
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
symbol,n. 象征；符号；标志
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
at least,"na. 至少
 最低限度；起码；最少"
nowadays,"adv. 现今；时下
n. 当今"
compete,vi. 竞争；比赛；对抗
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
