musketeer,n. 步兵；火枪手；持步枪的士兵
alchemy,n. 点金术；魔力
Saxon churl,找不到解释
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
scamper,"n. 蹦跳；奔跑
vi. 蹦蹦跳跳；奔跑，惊惶奔跑"
tussle,"n. 争斗，扭打
vi. 打斗；扭打；剧烈的斗争"
dandelion,n. 蒲公英
pejoratively,adv. 贬损地；轻蔑地
facetiously,adv. 爱开玩笑地；滑稽地
edict,n. 法令；布告
ultimatum,n. 最后通牒；最后结论；基本原理
chimpanzee,n.  黑猩猩
corpse,n. 尸体
pomegranate,n. 石榴
coffin,"n. 棺材
断送"
bier,n. 棺材；尸架；棺材架
oblong,"adj. 椭圆形的；长方形的
n. 椭圆形；长方形"
hummocky,adj. 圆丘般的，多圆丘的; 波丘地
derelict,"n. 遗弃物；玩忽职守者；被遗弃的人
adj. 玩忽职守的；无主的；被抛弃了的"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
gazelle,"n. 瞪羚；小羚羊
vi. 似瞪羚般跳跃"
hindquarter,n. 后腿及臀部
lathe,"vt. 用车床加工
n. 车床；机床"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
witchcraft,n. 巫术；魔法
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
lucerne,n.  苜蓿；紫花苜蓿
harrow,"vt. 耙地；使苦恼
n. 耙
vi. 被耙松"
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
subsoil,"n. 底土；下层土；天然地基
vt. 掘起…的底土；深挖，深耕"
bridle,"n. 缰绳；马勒；系带；约束物
vt. 控制；给装马勒
vi. 昂首表示轻蔑；生气"
halter,"n. 缰绳；绞索
vt. 给…套上缰绳；束缚"
stork,n.  鹳
syphilis,n.  梅毒
garrison,"n. 要塞；卫戍部队
vt. 驻防；守卫"
forebear,n. 祖先；祖宗
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
asunder,"adj. 分成碎片的；分离的
adv. 化为碎片地；分离地"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
subversion,n. 颠覆；破坏
hemisphere,n. 半球
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
writ,n.  令状；文书；法院命令
adversary,n. 对手；敌手
engulf,vt. 吞没；吞食，狼吞虎咽
belabor,vt. 痛打；抨击；过度说明；反复讨论
beachhead,n.  滩头堡，滩头阵地
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
summon,vt. 召唤；召集；鼓起；振作
tribulation,n. 苦难；磨难；忧患
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
perspicacious,adj. 有洞察力的；聪颖的；敏锐的
scales,n. 天平；磅秤；鳞屑；缩放
scalpel,n. 解剖刀；外科手术刀
idiocy,n. 白痴；白痴的行为
appendicitis,n.  阑尾炎；盲肠炎
laxative,"n. 泻药； 缓泻药
adj. 通便的"
raccoon,n. 浣熊；浣熊毛皮
cerebral,adj. 大脑的，脑的
waif,n. 流浪者；流浪儿；飘流物；无主物；信号旗
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
contritely,adv. 懊悔地
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
ember,n. 灰烬，余烬
analogy,n. 类比；类推；类似
hypothesis,n. 假设
pitchblende,n. 沥青油矿; 非晶铀矿
radium,n.  镭（88号元素符号Ra）
hamstring,"n. 腿筋
vt. 切断腿筋使成跛腿；使残废"
constellation,n.  星座；星群；荟萃；兴奋丛
modulate,"vt. 调节；（信号）调制；调整
vi. 调制；转调"
Puritan,找不到解释
amour,n. 恋情；偷情，奸情
stature,n. 身高，身材；（精神、道德等的）高度
Victorian,"n. 维多利亚时代；维多利亚女王时代的人
adj. 维多利亚女王时代的；英国维多利亚女王时代的"
catalytic,"n. 催化剂；刺激因素
adj. 接触反应的；起催化作用的"
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
obsolescent,adj. 荒废的；即将过时的；逐渐被废弃的
mores,n. 习惯，习俗；风俗；道德观念
Bohemian,找不到解释
perversion,n. 反常；颠倒；曲解；误用；堕落
reveler,n. 欢宴者，狂欢者；饮酒狂欢者；摆设酒宴者
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
insolence,n. 傲慢；傲慢无礼的行为
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
magnolia,"n.  木兰；玉兰类的植物
adj. 木兰科的"
fracas,n. 吵闹；喧噪
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
obliquely,adv. 倾斜地；转弯抹角地
expatriation,n. 放弃国籍；流放国外
beget,vt. 产生；招致；引起；当…的父亲
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
preempt,vt. 先占；先取；以先买权获得
bilk,"n. 诈骗；骗子；赖帐
vt. 欺骗，诈骗；使受挫折；赖帐"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
