boy,n. 男孩；男人
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
friend,n. 朋友；助手；赞助者
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
teacher,n. 教师；导师
and,conj. 和，与；就；而且；但是；然后
nice,adj. 精密的；美好的；细微的；和蔼的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
too,adv. 太；也；很；还；非常；过度
schoolbag,n. 书包
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
your,pron. 你的，你们的
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
have,"aux. 已经
vt. 有；让；拿；从事；允许"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
have a look,"v. 看一看
 看一下；瞧一瞧；看看"
ruler,n. 尺；统治者； 划线板，划线的人
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
pencil box, 铅笔盒；文具盒；你的铅笔盒
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
car,n. 汽车；车厢
his,pron. 他的
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
whose,pron. 谁的（疑问代词）
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
shirt,n. 衬衫；汗衫，内衣
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
on the bed, 在床上；坐在床上；物品在床上
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
T-shirt,n. 短袖圆领汗衫
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
in the box, 在盒子里；在箱子里；包装
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
socks,n. 袜子（sock的复数）
trousers,n. 裤子，长裤
under the bed, 在床下；在床底下；在床下面
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
they,pron. 他们；它们；她们
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
kitchen,n. 厨房；炊具；炊事人员
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
bathroom,n. 浴室；厕所；盥洗室
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
go home,"na. 回家；死；(忠告等)刻骨铭心；击中
 回家吧；回家去；回家了"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
dinner,n. 晚餐，晚宴；宴会；正餐
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
play ping-pong,
play basketball, 打篮球；玩篮球；篮球锻炼知多少
play games, 做游戏；玩游戏；捣鬼
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
football game,"un. 踢足球
 足球比赛；橄榄球比赛；足球赛"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
May I have a look?,
Sorry!,
Coming!,
Excuse me.,
No problem!,
