aeroplane,n. 飞机（等于airplane）
bus,"n. 公共汽车
乘公共汽车"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
car,n. 汽车；车厢
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
lemon,"adj. 柠檬色的
n. 柠檬"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
salty,adj. 咸的；含盐的
coffee,n. 咖啡；咖啡豆；咖啡色
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
tiger,n. 老虎；凶暴的人
lion,n. 狮子；名人；勇猛的人；社交场合的名流
panda,n. 熊猫；猫熊
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
clever,"adj. 聪明的；机灵的；熟练的
"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
toy train, 玩具火车；小火车；马克吐温小火车
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
a pair of gloves,"na. 一副手套
 一双手套；表达一双手套时用；一对手套"
a pair of socks,
a pair of shoes,"na. 一双鞋；一双鞋子
 不是一只鞋子；一对鞋；一双布鞋"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
his,pron. 他的
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
rectangle,n. 矩形；长方形
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
sea,n. 海；海洋；许多；大量
mountain,n. 山；山脉
river,n. 河，江
plant a tree,
have a picnic, 举行野餐；去野餐；吃野餐
ice-skate,v. 溜冰，滑冰
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
leg,n. 腿；支柱
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
feet,n. 脚（foot的复数形式）；尺；韵脚
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
cinema,n. 电影；电影院；电影业，电影制作术
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
our,pron. 我们的
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
take a photograph,"un. 摄影
 照相；拍…的照片；拍照片"
parent,n. 父亲（或母亲）；父母亲；根源
