restaurant,n. 餐馆； 饭店
menu,"n. 菜单
饭菜"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
noodles,n. 面条，挂面（noodle的复数形式)
bread,"n. 面包；生计
vt. 在…上洒面包屑"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
meat,n. 肉，肉类（食用）
vegetables,n.  蔬菜（vegetable的复数形式）；菜类
dumplings,n. 饺子（dumpling的复数）
hamburgers,n. 汉堡包( hamburger的名词复数 )
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
turtle,n. 龟，甲鱼；海龟
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
happy,adj. 幸福的；高兴的；巧妙的
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
thirsty,adj. 口渴的，口干的；渴望的，热望的
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
cola,n. 可乐；可乐树（其子含咖啡碱）
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
coffee,n. 咖啡；咖啡豆；咖啡色
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
iced tea,"n. 冰茶
 冰红茶；好喝冰茶；柠檬茶"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
storybook,n. 故事书；小说
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
newspaper,"n. 报纸
报社
旧报纸"
magazine,n. 杂志；弹药库；胶卷盒
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
toys,"n.  玩具（toy的复数）
v. 摆弄；调情（toy的第三人称单数）"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
leg,n. 腿；支柱
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
window,n. 窗；窗口；窗户
