restaurant,n. 餐馆； 饭店
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
noodles,n. 面条，挂面（noodle的复数形式)
menu,"n. 菜单
饭菜"
fried rice,"un. 炒饭
 炒饭类；炒米饭；什锦炒饭"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
French fries,
bread,"n. 面包；生计
vt. 在…上洒面包屑"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
dumplings,n. 饺子（dumpling的复数）
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
talent,n. 才能；天才；天资
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
from,prep. 来自，从；由于；今后
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
Ms,
India,n. 印度（南亚国家）
how old,"conj. 多少岁
 多大；几岁；多大年纪"
Mr,abbr. 先生（Mister）
Australia,n. 澳大利亚，澳洲
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
US,
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
Canada,n. 加拿大（北美洲国家）
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
not bad,"na. 不坏；不错
 还不错；不差；不赖嘛"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
too,adv. 太；也；很；还；非常；过度
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
thirsty,adj. 口渴的，口干的；渴望的，热望的
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
cola,n. 可乐；可乐树（其子含咖啡碱）
healthy,adj. 健康的，健全的；有益于健康的
juice,n. （水果）汁，液；果汁
idea,n. 想法；主意；概念
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
them,pron. 他们；它们；她们
