I'm,abbr. 我是（缩写）
I am, 我是；这就是我；唯我是问
your,pron. 你的，你们的
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
grandpa,n. 爷爷；外公
it's,abbr. 它的（it has）；它是（it is）
it is, 它是；是的；这是
pencil box, 铅笔盒；文具盒；你的铅笔盒
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
eraser,n. 橡皮；擦除器； 清除器
ruler,n. 尺；统治者； 划线板，划线的人
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
leg,n. 腿；支柱
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
he's,abbr. 他是（he is）；他有（he has）
he is, 他是；他比我大两岁；通常为形容词
dad,n. 爸爸；爹爹
she's,abbr. 她是（she is）；她有（she has）
she is,
mom,n. 妈妈
clever,"adj. 聪明的；机灵的；熟练的
"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
yes,"n. 是（表示肯定）
adv. 是, 是的"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
ten,num. 十个，十
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
Hello!,
Goodbye!,
Bye!,
Good morning!,
Thank you.,
Good afternoon!,下午好!；再见!
Look!,
How are you?, 你身体好吗？
"Fine, thank you.",
Great!,
Follow me!,
Good job!,
Happy birthday to you!,
How old are you?,
