grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
aunt,n. 阿姨；姑妈；伯母；舅妈
cousin,n. 堂兄弟姊妹；表兄弟姊妹
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
woman,n. 妇女；女性；成年女子
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
kitchen,n. 厨房；炊具；炊事人员
sitting room,"na. 起居室
 客厅；起居空间；休息室"
bathroom,n. 浴室；厕所；盥洗室
between,"prep. 在…之间
adv. 在中间"
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
computer,n. 计算机；电脑；电子计算机
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
poster,n. 海报，广告；招贴
shelf,n. 架子；搁板；搁板状物；暗礁
door,n. 门；家，户；门口；通道
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
morning,n. 早晨；黎明；初期
afternoon,n. 午后，下午
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
supper,n. 晚餐，晚饭；夜宵
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
boat,"n. 小船；轮船
vi. 划船"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
puppet,n. 木偶；傀儡；受他人操纵的人
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
skipping rope,"n. 跳绳
 跳绳用绳子；求购跳绳；跳绳用的绳子"
spaceship,n.  宇宙飞船
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
Frisbee,
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
donkey,n. 驴子；傻瓜；顽固的人
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
sheep,n. 羊，绵羊；胆小鬼
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
food,n. 食物；养料
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
strawberry,n. 草莓；草莓色
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
potato,n.  土豆， 马铃薯
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jeans,n. 牛仔裤；工装裤
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
trousers,n. 裤子，长裤
coat,"n. 外套
vt. 覆盖…的表面"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
happy,adj. 幸福的；高兴的；巧妙的
unhappy,adj. 不快乐的；不幸福的；不适当的
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
thirsty,adj. 口渴的，口干的；渴望的，热望的
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
countryside,n. 农村，乡下；乡下的全体居民
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
hill,n. 小山；丘陵；斜坡；山冈
river,n. 河，江
town,n. 城镇，市镇；市内商业区
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
bus,"n. 公共汽车
乘公共汽车"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
sixteen,"num. 十六
adj. 十六的，十六个的"
seventeen,"n. 十七，十七个
num. 十七
adj. 十七岁的；十七的，十七个的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
nineteen,num. 十九
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
twenty-one,"n. 二十一点纸牌游戏
num. 二十一
adj. 二十一的"
biscuit,n. 小点心，饼干
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
