on the desk, 在桌上；在桌子上；在书桌上
in the desk, 在课桌里；在书桌里；在桌子里
under the chair,
near the chair,
blackboard,n. 黑板
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
schoolbag,n. 书包
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
sheep,n. 羊，绵羊；胆小鬼
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
hen,n. 母鸡；女人；雌禽
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
sixteen,"num. 十六
adj. 十六的，十六个的"
seventeen,"n. 十七，十七个
num. 十七
adj. 十七岁的；十七的，十七个的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
nineteen,num. 十九
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
twenty-one,"n. 二十一点纸牌游戏
num. 二十一
adj. 二十一的"
trousers,n. 裤子，长裤
shorts,n. 短裤
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
socks,n. 袜子（sock的复数）
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
forty,"n. 四十
adj. 四十的；四十个的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
sixty,num. 六十；六十个
in the morning,"na. 在早晨
 在早上；清晨；在上午"
in the afternoon, 在下午；每天下午；午后
in the evening, 在晚上；在傍晚；晚间
at night,"na. 在黄昏时候；晚上
 在晚上；在夜里；在夜间"
go running, 去跑步；去做某事；在早上我通常跑步半小时
go walking,去散步
listen to English,
do homework, 做作业；做家庭作业；做功课
rainy,adj. 下雨的；多雨的
cloudy,adj. 多云的；阴天的；愁容满面的
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
windy,adj. 多风的，有风的；腹胀的；吹牛的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
at night,"na. 在黄昏时候；晚上
 在晚上；在夜里；在夜间"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
birthday,n. 生日，诞辰；诞生的日子
blackboard,n. 黑板
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
cloudy,adj. 多云的；阴天的；愁容满面的
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
do homework, 做作业；做家庭作业；做功课
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
