disability,n. 残疾；无能；无资格；不利条件
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
eyesight,n. 视力；目力
syndrome,n.  综合症状；并发症状；校验子；并发位
infantile paralysis,"na. 婴儿麻痹；小儿麻痹症
 脊髓灰质炎；小儿瘫痪"
Rosalyn,
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
dictation,n. 听写；口述；命令
Sally,
noisy,adj. .嘈杂的；喧闹的；聒噪的
suitable,adj. 适当的；相配的
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
beneficial,adj. 有益的，有利的；可享利益的
Marty Fielding,
in other words,"na. 换句话说
 换言之；也就是说；也就是"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
adapt,"vi. 适应
vt. 使适应；改编"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
microscope,n. 显微镜
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
absence,n. 没有；缺乏；缺席；不注意
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
annoyance,n. 烦恼；可厌之事；打扰
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
software,n. 软件
sit around, 无所事事；坐着没事干；闲坐
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
in many ways, 在许多方面；在很多方面；从许多方面来说
psychology,n. 心理学；心理状态
psychologically,adv. 心理上地；心理学地
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
encouragement,n. 鼓励
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
mainstream,n. 主流
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
never mind,"un. 没关系；不要紧；开诚布公地谈
 别介意；别放在心上；别在意"
politics,n. 政治，政治学；政治活动；政纲
abolish,vt. 废除，废止；取消，革除
abolition,n. 废除；废止
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
slavery,n. 奴役；奴隶制度；奴隶身份
literature,n. 文学；文献；文艺；著作
Barry Minto,
Mount Kilimanjaro, 乞力马扎罗山；吉力马札罗山；吉力马扎罗山
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
assistance,n. 援助，帮助；辅助设备
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
all the best, 万事吉利，一路平安，一帆风顺（祝酒或送行时用语）
architect,"n. 建筑师
缔造者"
Sanders,
adequate,adj. 充足的；适当的；胜任的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
wheelchair,n. 轮椅
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
earphone,n. 耳机；听筒
impair,vt. 损害；削弱；减少
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
basement,n. 地下室；地窖
outwards,adv. 向外地
exit,"n. 出口，通道；退场
vi. 退出；离去"
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
approval,n. 批准；认可；赞成
dignity,n. 尊严；高贵
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
italics,n.  斜体字，斜体
community,n. 社区； 群落；共同体；团体
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
fiction,n. 小说；虚构，编造；谎言
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
Isaac Asimov, 阿西莫夫；艾西莫夫；艾萨克·阿西莫夫
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
Larry Belmont,
test out,"na. 同“test”
 考验；试验；测试"
Claire,
bonus,n. 奖金；红利；额外津贴
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alarmed,"v. 报警（alarm的过去式及过去分词）
adj. 惊恐的；受惊的；焦虑的"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
sympathy,n. 同情；慰问；赞同
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
Gladys Claffern,
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
fingernail,n. 手指甲
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
haircut,n. 理发；发型
makeup,n. 化妆品；组成；补充；补考
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
bedding,"n. 寝具；（建筑） 基床；（家畜）草垫
adj. 适于花坛种植的
vt. 把…栽入苗床（bed的ing形式）
vi. 睡（bed的ing形式）"
necklace,n. 项链
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
 用收银机记录；给……打电话；把记入现金收入记录机"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
awful,adj. 可怕的；极坏的；使人敬畏的
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
cuisine,n. 烹饪，烹调法
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
leave ... alone,"na. 丢下不管；不要管
 不理会；让独自呆着；不干涉"
digital,"n. 数字；键
adj. 数字的；手指的"
mailbox,n. 邮箱；邮筒
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
Marion,
alphabetical,adj. 字母的； 依字母顺序的
receiver,n. 接收器；接受者；收信机；收款员，接待者
in all,"na. 总计
 总共；一共；总共，合计"
affection,n. 喜爱，感情；影响；感染
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
be bound to,"v. 一定要；决心
 必定；注定；一定会"
biography,n. 传记；档案；个人简介
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
imagination,n.  想象力；空想；幻想物
transfusion,n.  输血； 输液；倾注；灌输
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
master's degree, 硕士学位；硕士学位课程；研究生专业
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
Philadelphia,n. 费城（美国宾夕法尼亚州东南部港市）
navy,"n. 海军
深蓝色的"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
PhD,
Doctor of Philosophy,"na. 哲学博士
 博士学位；哲学博士学位；博士学位者"
biochemistry,"n. 生物化学
生物化学过程"
Boston,n. 波士顿（美国城市）
talent,n. 才能；天才；天资
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
the Foundation trilogy,
empire,n. 帝国；帝王统治，君权
theoretical,adj. 理论的；理论上的；假设的；推理的
framework,n. 框架，骨架；结构，构架
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
disobey,v. 违反；不服从
assessment,n. 评定；估价
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
aquarium,n. 水族馆；养鱼池；玻璃缸
anecdote,n. 轶事；奇闻；秘史
Clancy,克兰西（人名）
baleen,n. 鲸须
baleen whale,"n. 须鲸
 须鲸亚目；长须鲸；须鲸类"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
migration,n. 迁移；移民；移动
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
teamwork,n. 团队合作；协力
blow-hole,adj. （隧道的）通风口； （海豹等用以呼吸的）冰窟窿； （鲸鱼的）鼻孔
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
harpoon,"n. 鱼叉
vt. 用鱼叉叉；用鱼叉捕获"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
depth,n.  深度；深奥
meantime,"n. 其时，其间
adv. 同时；其间"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
help ... out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
relationship,n. 关系；关联
conservation,n. 保存，保持；保护
iceberg,n.  冰山；显露部分
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
driftnet, 流网
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
be aware of,"na. 知道
 意识到；觉察；了解"
become aware of,"na. 发觉
 注意到；开始意识到；知道"
vivid,adj. 生动的；鲜明的；鲜艳的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
seaweed,n. 海藻，海草
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
flashlight,n. 手电筒；闪光灯
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
sea-slug, 海蛞蝓
turtle,n. 龟，甲鱼；海龟
eel,n. 鳗鱼；鳝鱼
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scared to death, 吓死了；怕到死；害怕得要命
be scared to death, 吓得要死；害怕得要命；被吓死
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
boundary,n. 边界；范围；分界线
Antarctic,
the Antarctic,
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
