puma,n.  美洲狮
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
accumulate,"vt. 积攒
vi. 累积；积聚"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
blackberry,n.  黑莓
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
cling,vi. 坚持，墨守；紧贴；附着
convince,vt. 说服；使确信，使信服
somehow,adv. 以某种方法；莫名其妙地
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
vicar,n. 教区牧师，教堂牧师；传教牧师；代理人
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
torchlight,n. 火炬之光；手电筒的光
goddess,n. 女神，受崇拜的女性
archaeologist,n. 考古学家
Aegean,"n. 爱琴海（地中海的一部分）
adj. 爱琴海的"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
promontory,n. 岬，海角；隆起，隆突
prosperous,adj. 繁荣的；兴旺的
civilization,n. 文明；文化
storey,n.  楼层；叠架的一层
drainage,n. 排水；排水系统；污水；排水面积
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
sacred,adj. 神的；神圣的；宗教的；庄严的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
remains,n. 残余；遗骸
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
reconstruct,vt. 重建；改造；修复；重现
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
full-length,adj. 全身的；全长的，未删节的；大型的
graceful,adj. 优雅的；优美的
identity,n. 身份；同一性，一致；特性；恒等式
manual,"adj. 手工的；体力的
n. 手册，指南"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
dustman,n. 清洁工人
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
overalls,n.  工装裤；工作裤
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
status,n. 地位；状态；情形；重要身份
editor,n. 编者，编辑；社论撰写人；编辑装置
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
statistics,n. 统计；统计学； 统计资料
journalist,n. 新闻工作者；报人；记日志者
president,n. 总统；董事长；校长；主席
palace,n. 宫殿；宅邸；豪华住宅
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
fax,
impatient,adj. 焦躁的；不耐心的
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
originally,adv. 最初，起初；本来
smash-and-grab,"n. 砸橱窗抢劫
adj. 砸橱窗抢劫的"
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
Piccadilly,n. 皮卡迪利大街（伦敦的繁华街道）
jewellery,n. 珠宝（等于jewelry）
necklace,n. 项链
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
headlight,n. 汽车等的前灯；船上的桅灯；矿工和医生用的帽灯
blare,"n. 嘟嘟声；号声；巨响
vt. 嘟嘟地发出；高声发出
vi. 发嘟嘟声；发出响而刺耳的声音"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
ashtray,n. 烟灰缸
mutilate,vt. 切断，毁坏；使…残缺不全；使…支离破碎
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
fiancé,
microwave,n. 微波
oven,n. 炉，灶；烤炉，烤箱
safekeeping,"n. 安全保护，妥善保管
v. 保护（safekeep的ing形式）"
Newcastle,
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
spokeswoman,n. 女代言人，女代言人
monastery,n. 修道院；僧侣
St. Bernard,= Saint Bernard (dog) ；= Great St. Bernard (Pass) ；= Little St. Bernard (Pass) 
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
watchdog,n. 看门狗；监察人；忠实的看守人
rashly,adv. 轻率地；鲁莽地；无见识地
enclosure,n. 附件；围墙；围场
monk,n. 僧侣，修道士；和尚
privacy,n. 隐私；秘密；隐居；隐居处
skier,n. 滑雪的人
Easter,n. 复活节
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
affectionate,"adj. 深情的；
adj. 充满爱的；"
mysterious,adj. 神秘的；不可思议的；难解的
submissive,adj. 顺从的；服从的；柔顺的
feline,"n. 猫科动物
adj. 猫科的；猫一样的；狡猾的"
independence,n. 独立性，自立性；自主
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
windowsill,n.  窗台； 窗沿
paratrooper,n. 伞兵
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
air-resistance,气阻
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
Southampton,
colossal,adj. 巨大的；异常的，非常的
watertight,adj. 水密的；不漏水的；无懈可击的
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
tragic,adj. 悲剧的；悲痛的，不幸的
liner,n. 班轮，班机；衬垫；画线者
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
iceberg,n.  冰山；显露部分
lookout,n. 监视；监视哨；警戒；守望者；担心的事；前景
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
narrowly,adv. 仔细地；勉强地；狭窄地；严密地
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
