song,n. 歌曲；歌唱；诗歌；鸣声
TV,abbr. 电视（television）
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
Here you are.,；我们(或你，你们)到了!；这就是我们(或你，你们)所要的东西。
they,pron. 他们；它们；她们
they're,= they are
they are,
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
tiger,n. 老虎；凶暴的人
lion,n. 狮子；名人；勇猛的人；社交场合的名流
elephant,n. 象；大号图画纸
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
them,pron. 他们；它们；她们
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
basketball,n. 篮球；篮球运动
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
morning exercises, 早操；晨练；早锻炼
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
meat,n. 肉，肉类（食用）
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
noodles,n. 面条，挂面（noodle的复数形式)
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
mm,"abbr. 毫米（millimeter）
n. 缅甸的域名"
does,v. 做；工作；有用（do的第三人称单数形式）
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
banana,n. 香蕉；喜剧演员；大鹰钩鼻
pear,n.  梨树；梨子
doesn't,aux. 表示否定（等于does not）
does not, 不；不是；否定就用
goes,vi. 前进；行走（go的第三人称单数形式
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
Monday,n. 星期一
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
on the phone,"un. 正在打电话
 用电话交谈；在电话里；在电话中"
with,prep. 用；随着；支持；和…在一起
friend,n. 朋友；助手；赞助者
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
who,pron. 谁；什么人
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
go to work,"v. 着手工作
 去上班；去工作；按时去工作"
Saturday,n. 星期六
shopping,"n. 购物，买东西
v. 购物（shop的ing形式）"
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
dad,n. 爸爸；爹爹
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
Sunday,n. 星期日；礼拜日
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
sleep,"n. 睡眠
vi. 睡，睡觉"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
TV,abbr. 电视（television）
watch TV,
have,"aux. 已经
vt. 有；让；拿；从事；允许"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
today,"n. 今天；现今
adv. 今天；现今"
music,n. 音乐，乐曲
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
have,"aux. 已经
vt. 有；让；拿；从事；允许"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
maths,n. 数学（等于mathematics）
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
PE,abbr. 体育课，体能训练（physical education）
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
science,n. 科学；技术；学科；理科
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
nice,adj. 精密的；美好的；细微的；和蔼的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
skating,"n. 溜冰，滑冰
v. 滑冰（skate的ing形式）"
go skating, 去滑冰；去溜冰；滑雪
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
windy,adj. 多风的，有风的；腹胀的；吹牛的
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
flies,"n. 苍蝇（fly的复数）；舞台上空，吊景区；裤子前面的开口
v. 飞行；时间飞逝；乘飞机；飘动（fly的第三人称单数）"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
have got, 有；拥有；的第三人称单数形式
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
animal,"n. 动物
动物的"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
haven't,（等于have not） 没有
haven't got,
have not,"n. 穷人；穷国
 未曾；没有；未始"
have not got,
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
coat,"n. 外套
vt. 覆盖…的表面"
T-shirt,n. 短袖圆领汗衫
has got, 有；拥有；过去完成时
have got, 有；拥有；的第三人称单数形式
hasn't,abbr. 还没有（has not）
hasn't got,
has not,aux.没有
has not got,
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
bus,"n. 公共汽车
乘公共汽车"
car,n. 汽车；车厢
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
come back,"na. 回来；想起来；复原；归
 恢复；回来吧；回想起来"
clothes,n. 衣服
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
