self-critical,adj. 律己严格的；自我批评的
freckle,"n. 雀斑；斑点
vt. 使生雀斑
vi. 生雀斑"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
jawline,n. 下巴的外形；下颌的轮廓
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
boost one's confidence,
narcissist,n. 自我陶醉者
obsessive,adj. 强迫性的；着迷的；分神的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
misjudge,"vi. 判断错
vt. 对…判断错误"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
roommate,n. 室友
bizarre,adj. 奇异的（指态度，容貌，款式等）
from head to toe,"un. 浑身
 从头到脚；从头动到脚；从头到脚跟我学"
makeover,n. 化妆美容；大转变
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
skinny,"n. 机密情报；内部消息；小道消息
adj. 皮的；皮包骨的；紧身的；小气的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
assumption,n. 假定；设想；担任；采取
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
psychology,n. 心理学；心理状态
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
frightful,adj. 可怕的；惊人的；非常的
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
righteous,adj. 正义的；正直的；公正的
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
beast,n. 野兽；畜生，人面兽心的人
timid,adj. 胆小的；羞怯的
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
bookish,adj. 书本上的；好读书的；书呆子气的
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
novelist,n. 小说家
kidnap,vt. 绑架；诱拐；拐骗
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
execution,n. 执行，实行；完成；死刑
predicament,n. 窘况，困境；状态
graceful,adj. 优雅的；优美的
repulsive,adj. 排斥的；令人厌恶的；击退的；冷淡的
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
hunched,"adj. 缩成一团的
v. 弯腰驼背（hunch的过去分词）"
comprehension,n. 理解；包含
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
wretch,n. 可怜的人，不幸的人；卑鄙的人
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
heartfelt,adj. 衷心的；真诚的；真心真意的
compassion,n. 同情；怜悯
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
immense,adj. 巨大的，广大的；无边无际的；非常好的
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
resemble,vt. 类似，像
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
whilst,conj. 同时；时时，有时；当…的时候
coarse,adj. 粗糙的；粗俗的；下等的
downtrodden,adj. 被践踏的，被蹂躏的；受压迫的
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
heartbreaking,"adj. 悲伤或失望到难忍程度的；令人悲伤的
v. 使…心碎（heartbreak的ing形式）"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
intently,adv. 专心地；一心一意地；心无旁骛地
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
profound,adj. 深厚的；意义深远的；渊博的
tenderness,n. 亲切；柔软；柔和；敏感；棘手
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
grocery,"n. 食品杂货店
食品杂货"
grocery store,"n. 杂货店
 食品杂货店；小卖部；食品杂货商店"
fascination,n. 魅力；魔力；入迷
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
uncomplicated,adj. 简单的；不复杂的
faraway,adj. 遥远的；恍惚的
celebrity,n. 名人；名声
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
anthropologist,n. 人类学家；人类学者
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
by trial and error, 反复试验；不断摸索；尝试与失败
craftsmanship,n. 技术；技艺
atomic,adj. 原子的，原子能的；微粒子的
back down,"na. 打退堂鼓；放弃权利等
 让步；放弃原主张；取消前言"
the cutting edge, 冰上浪漫曲；最前沿；冰上奇缘
the cutting edge of sth.,
think outside the box, 跳出思想框框；思考；框外思维
break new ground,"na. “break fresh ground”的变体
 有了新的突破；开辟新天地；开垦处女地"
hydrogen,n.  氢
propulsion,n. 推进；推进力
jet propulsion,"n. 喷气推进
 喷射推进；喷漆推进；喷气动力"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
shun,vt. 避开，避免；回避
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
prosperous,adj. 繁荣的；兴旺的
courtyard,n. 庭院，院子；天井
precious,adj. 宝贵的；珍贵的；矫揉造作的
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
restoration,n. 恢复；复位；王政复辟；归还
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
workplace,n. 工作场所；车间
timepiece,n. 钟等各种计时器
envoy,n. 使者；全权公使
intricate,adj. 复杂的；错综的，缠结的
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
workshop,n. 车间；研讨会；工场；讲习班
melody,n. 旋律；歌曲；美妙的音乐
polish,
gigantic,adj. 巨大的，庞大的
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
exaggeration,n. 夸张；夸大之词；夸张的手法
metaphor,n. 暗喻，隐喻；比喻说法
nonetheless,adv. 尽管如此，但是
artisan,n. 工匠，技工
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
apt,adj. 恰当的；有…倾向的；灵敏的
timeless,adj. 永恒的；不受时间影响的；不合时宜的
sedately,adv. 安详地；镇静地
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
architecture,n. 建筑学；建筑风格；建筑式样；架构
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
analysis,n. 分析；分解；验定
comprise,vt. 包含；由…组成
violent,adj. 暴力的；猛烈的
landing,"n. 登陆；码头；楼梯平台
v. 登陆（land的ing形式）"
allied,"adj. 联合的；同盟的；与…同属一系
v. 联合（ally的过去分词）"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
code-name,v. 给与代号
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
commander,n. 指挥官；司令官
parachute,"n. 降落伞
vi. 跳伞
空投"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
coastline,n. 海岸线
violence,n. 暴力；侵犯；激烈；歪曲
