ability,n. 能力，能耐；才能
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
activity,n. 活动；行动；活跃
after-school,adj. 课后的，课外的
algebra,n. 代数学
appropriately,adv. 适当地；合适地；相称地
arithmetic,n. 算术，算法
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
assessment,n. 评定；估价
assumption,n. 假定；设想；担任；采取
attentively,adv. 注意地；聚精会神地；周到地
boarding,"n. 木板；寄膳宿；上船
v. 用木板遮住；收费为…供膳（board的ing形式）
adj. 供膳的"
botanical,"n. 植物性药材
adj. 植物学的"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
cheerleader,n. 拉拉队队员
cheerleading,n. 带领啦啦队
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
competitive,adj. 竞争的；比赛的；求胜心切的
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
conservative,
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
determination,n. 决心；果断；测定
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
difference,n. 差异；不同；争执
different,adj. 不同的；个别的，与众不同的
difficult,adj. 困难的；不随和的；执拗的
difficulty,n. 困难，困境
discover,"vi. 发现
vt. 发现；发觉"
discuss,vt. 讨论；论述，辩论
educator,n. 教育家；教育工作者；教师
excellent,adj. 卓越的；极好的；杰出的
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
fortnight,n. 两星期
geography,n. 地理；地形
geometry,"n. 几何学
几何结构"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
gram,n. 克；鹰嘴豆（用作饲料）
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
idiom,n. 成语，习语；土话
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
important,adj. 重要的，重大的；有地位的；有权力的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
include,vt. 包含，包括
instruct,vt. 指导；通知；命令；教授
introduce,vt. 介绍；引进；提出；采用
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
librarian,n. 图书馆员；图书管理员
