clean the room, 打扫房间；清扫房间；清洁房间
wash the socks,
make the bed, 铺床；整理床铺；整理被物
do the dishes,"na. 洗碗碟
 洗餐具；洗盘子；把盘子洗了"
cook the dinner,
water the plants, 给植物浇水；浇花；给花浇浇水
put away the clothes, 收拾衣服；整理衣服；收衣服
take out the rubbish,
reading a book,
watching TV,
seeing a film,
writing an email,
drawing a picture,
working,"n. 工作；活动；制作；操纵
v. 工作；影响；受雇用（work的ing形式）
adj. 工作的；操作的；可行的"
studying,v. 研究（study的ing形式）；学习
eating,"n. 吃；食物
v. 吃（eat的ing形式）
adj. 侵蚀的；可生食的；进餐用的"
drinking,"n. 喝，饮；喝酒
v. 饮（drink的ing形式）；喝"
sleeping,"n. 睡眠
adj. 睡着的"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
river,n. 河，江
sea,n. 海；海洋；许多；大量
woods,"n.  树林；森林；木头（wood的复数）
v. 供以木材；用森林覆盖（wood的第三人称单数）"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
teaching building,"un. 教学大楼
 教学楼；第一教学楼；新教学楼"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
library,n. 图书馆，藏书室；文库
playground,n. 运动场，操场；游乐场
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
classroom,n. 教室
office,n. 办公室；政府机关；官职；营业处
lab,n. 实验室，研究室
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
money,n. 钱；货币；财富
a box of candies,
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
ninety,"n. 九十
adj. 九十的；九十岁的
num. 九十"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
a pair of chopsticks,
a bottle of juice,
a cup of coffee,"na. 一杯咖啡
 喝杯咖啡；一杯咖啡的故事；边喝咖啡边等人"
a piece of bread,"na. 一块面包
 一片面包；一片而包；一快面包"
a bowl of rice, 一碗米饭；一碗饭
a bottle of, 一瓶；一盒；一瓶是
a bowl of, 一碗；一大碗；一篓-一桶
a box of, 一盒；一箱；一盒子
a cup of, 一杯；一茶怀；一茶杯
a pair of,"det. 一双
 一对；一副；一双的"
a piece of,"det. 一块；一只
 一张；一片；一件"
always,adv. 永远，一直；总是；常常
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
chopsticks,n. 筷子
classroom,n. 教室
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
email,"n. 电子信函
vt. 给…发电子邮件"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
food,n. 食物；养料
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
helper,n. 助手，帮手
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
him,pron. 他（宾格）
how much,"conj. 多少
 多少钱；做多少；有多少"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
interesting,adj. 有趣的；引起兴趣的，令人关注的
lab,n. 实验室，研究室
laboratory,n. 实验室，研究室
library,n. 图书馆，藏书室；文库
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
make the bed, 铺床；整理床铺；整理被物
money,n. 钱；货币；财富
