access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
unwilling,adj. 不愿意的；不情愿的；勉强的
watercress,n.  豆瓣菜；西洋菜
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
peppery,adj. 辛辣的；胡椒味的；暴躁的
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
kneel,vi. 跪下，跪
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
ledge,n. 壁架；突出之部份；暗礁；矿层
smock,"n. 工作服；罩衫
vt. 给…穿上罩衫"
carbine,n. 卡宾枪
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
get to one's feet,un. 觉得胆小；站起来
grudgingly,adv. 勉强地；不情愿地
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
flannel,"n. 法兰绒；法兰绒衣服；法兰绒巾
adj. 法兰绒的
vt. 给…穿上法兰绒衣服；用法兰绒包"
sullenly,adv. 阴沉地，不高兴地
dynamite,"n. 炸药；具有潜在危险的人（或物）
vt. 炸毁
adj. 极好的"
evenly,adv. 均匀地；平衡地；平坦地；平等地
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
gaunt,adj. 憔悴的；荒凉的；枯瘦的
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
erosion,n. 侵蚀，腐蚀
marlin,n. 枪鱼，青枪鱼；四鳃旗鱼
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
relatively,adv. 相当地；相对地，比较地
apparently,adv. 显然地；似乎，表面上
mechanic,"n. 技工，机修工
adj. 手工的"
seemingly,adv. 看来似乎；表面上看来
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
cynical,adj. 愤世嫉俗的；冷嘲的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
constraint,n.  约束；局促，态度不自然；强制
distinctly,adv. 明显地；无疑地，确实地
flowery,adj. 花的；华丽的；绚丽的；多花的
sparse,adj. 稀疏的；稀少的
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
leave out,"na. 遗漏；忽略；(告诉某人)停下来
 省去；省略；不考虑"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
clod,"n. 土块；笨蛋；牛颈肉
vt. 对…掷土块"
promontory,n. 岬，海角；隆起，隆突
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
arch-,pref. 表示“主要的”；“最初的”；“极端的”
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
forgery,n. 伪造；伪造罪；伪造物
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
unimaginative,adj. 缺乏想象力的；无趣的
stretch out,"na. 伸手；开始大踏步走；同“stretch”
 伸展；伸出；充分伸展"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
indication,n. 指示，指出；迹象；象征
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
legend,n. 传奇；说明；图例；刻印文字
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
be connected to, 与……相连接；被连接到；和…连在一起
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
moor,"vt. 系住；使停泊
n. 沼泽；荒野"
be connected with,"na. 与…有关系
 与……有联系；与…有关系；与……有关"
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
 因……而获得信任；把...归功于；给予肯定"
reassure,vt. 使…安心，使消除疑虑
